Symbol,What it is (description & location on drawing),Value in table,Fixed / Variable,Hidden / extra data from drawing,,,
A,Outside diameter of the auger flight – the biggest Ø that sweeps the product.,0.350 → 1.970 in (9 → 50 mm),V – grows with “Size” number,Chamfer 1/8 × 45° on top edge (see detail bubble),,,
B,Diameter of the drive collar / hub – the round boss that is clamped by the quick-release chuck of the filler head.,0.500 → 2.000 in (12.7 → 50.8 mm),V – step-wise larger,0.615 ±0.003 Ø shown in detail view (for Size 14 +),,,
C,Overall flighted length – the net “active” section that will be inside the funnel/tube.,6 5⁄8 in (168 mm) for Size ≤ 10; 4 3⁄8 in (111 mm) for Size ≥ 12,V – two stock lengths,Long version 13 1⁄8 in (333 mm) or 20 1⁄8 in (511 mm) available but not printed in table – must be specified when ordering,,,
D,Radial flight thickness (the “land” that rubs the tube wall).,3/16 → 1/2 in (4.8 → 12.7 mm),V – increases with A,–,,,
E,Root / shaft diameter under the flights – the minor Ø of the auger blank.,3/16 → 1/2 in (4.8 → 12.7 mm),V – follows auger size,–,,,
F,Width of the drive collar (hub length) – the face that bears against the chuck.,5/16 → 5/8 in (7.9 → 15.9 mm),V – step-wise larger,–,,,
G,Thread size in the nose of the auger – used to fasten a tip,drip-washer,star-washer,etc.,6-32 UNF → 1/4-20 UNC,V – coarse pitch on big sizes,Depth not specified; drawing shows full thread to bottom of chamfer
H,Depth of the threaded hole (blind) – how far the screw tip can go.,3/32 → 1/8 in (2.4 → 3.2 mm),V – slightly deeper on large sizes,–,,,
I,Chamfer width on the nose – 45° break edge before the thread.,1/32 → 1/16 in (0.8 → 1.6 mm),V – doubles on Size ≥ 22,–,,,
J,Drive-flat width – the milled flat that locks the auger to the chuck (anti-rotation).,0.140 → 0.257 in (3.6 → 6.5 mm),V – wider on large diameters,Flat is 0.030 – 0.035 in (0.76 – 0.89 mm) deep – value NOT in table,only shown on enlarged detail,,
