Feature,X_mm,Value_mm,Units,Note
Left shaft end (inlet),0,,mm,Left inlet shaft end
Left bearing center,20,,mm,Left bearing center (support)
Start of flighted zone,40,,mm,Start of first helix turn
End of flighted zone,280,,mm,End of last helix turn (flighted length = 240 mm)
Right bearing center,300,,mm,Right bearing center (support)
Right shaft / coupling end,360,,mm,Motor coupling reserve / end
Flighted axial length,,240,mm,N × p = 4 × 60 mm
Bearing span (c-c),,280,mm,Right bearing center - Left bearing center = 300 - 20
Total assembly length,,360,mm,Left ext 40 + flighted 240 + coupling 80
Outer diameter (D),,60,mm,Outer tip diameter
Shaft diameter (D_shaft),,16,mm,Central shaft diameter (upgrade possible to 20 mm)
Pitch (p),,60,mm,Axial distance between consecutive turns
Number of turns (N),,4,count,Single-start helix
Radial flight height,,22,mm,(D - D_shaft) / 2 = (60 - 16)/2
Flight thickness,,4,mm,Plate thickness of helix flight
Clearance tip -> housing,,1.5,mm,Radial clearance to housing
Helix mean diameter (Dm),,38,mm,(D + D_shaft) / 2
Helix mean angle,,26.7,deg,atan(p / (π·Dm)) (approx.)
Density used (rho),,1300,kg/m^3,Bulk density of fine salt (as provided)
Volumetric fill factor (eta_v),,0.6,unitless,Assumed fill factor
