Size (mm),A (mm),B (mm),C (mm),D (mm),E (mm),F (mm),G (Thread),H (mm),J (mm)
152.4,8.89,12.7,168.28,4.76,4.76,7.94,6-32,2.38,3.56
203.2,11.94,12.7,168.28,4.76,4.76,7.94,6-32,2.38,3.56
254,15.11,15.88,168.28,5.56,4.76,7.94,10-32,2.38,3.56
304.8,18.29,25.4,111.13,6.35,4.76,7.94,10-32,2.38,4.85
355.6,21.46,31.75,111.13,7.94,9.53,15.88,10-32,2.38,6.53
406.4,24.64,31.75,111.13,7.94,9.53,15.88,1/4-20,2.38,6.53
457.2,27.81,38.1,111.13,7.94,9.53,15.88,1/4-20,2.38,6.53
558.8,34.16,38.1,111.13,9.53,9.53,15.88,1/4-20,2.38,6.53
609.6,37.34,50.8,111.13,9.53,9.53,15.88,1/4-20,3.18,6.53
660.4,40.51,50.8,111.13,9.53,12.7,15.88,1/4-20,3.18,6.53
711.2,43.69,50.8,111.13,12.7,12.7,15.88,1/4-20,3.18,6.53
762,46.86,50.8,111.13,12.7,12.7,15.88,1/4-20,3.18,6.53
812.8,50.04,50.8,111.13,12.7,12.7,15.88,1/4-20,3.18,6.53
