الرمز,ما يمثله (موضح على الرسم),القيمة في الجدول,ثابت أم متغير,معلومات إضافية ظهرت فقط على الرسم وغير مذكورة في الجدول
A,القطر الخارجي لريشة اللولب (أكبر قطر),من 0.350 إلى 1.970 بوصة (9 → 50 ملم),"متغير يكبر مع رقم ""السايز""",يوجد شطب 45° × 1/8 بوصة على الحافة العلوية للريشة (موضح في فقاعة التفصيل)
B,قطر الطوق أو العنق (الجزء المُثبت في ظرف المحرك),من 0.5 إلى 2.0 بوصة (12.7 → 50.8 ملم),متغير,في السايز 14 فما فوق: القطر 0.615 ± 0.003 بوصة (15.63 ± 0.08 ملم)
C,الطول الفعّال للريش (الجزء الذي يكون داخل الأنبوب),إما 6 5⁄8 بوصة (168 ملم) أو 4 3⁄8 بوصة (111 ملم),متغير,يوجد طولان إضافيان غير مدرجين في الجدول:• 13 1⁄8 بوصة (333 ملم)• 20 1⁄8 بوصة (511 ملم)يجب طلبهما صراحة عند الطلب
D,سُمك الريشة (الجزء الذي يمس جدار الأنبوب),من 3/16 إلى 1/2 بوصة (4.8 → 12.7 ملم),متغير,لا توجد معلومات إضافية
E,قطر العمود المركزي (الجذع) تحت الريش,من 3/16 إلى 1/2 بوصة (4.8 → 12.7 ملم),متغير,لا توجد معلومات إضافية
F,عرض الطوق (سُمك الجزء المُثبت في الظرف),من 5/16 إلى 5/8 بوصة (7.9 → 15.9 ملم),متغير,لا توجد معلومات إضافية
G,مقاس الخيط في مقدمة اللولب (لتركيب طرف أو غسالة),من 6-32 إلى 1/4-20 UNC,متغير,العمق غير مكتوب، لكن الرسم يُظهر خيطاً كاملاً حتى قاع الشطب
H,عمق الخيط (الجزء المجوف),من 3/32 إلى 1/8 بوصة (2.4 → 3.2 ملم),متغير,لا توجد معلومات إضافية
I,عرض الشطب 45° في المقدمة,من 1/32 إلى 1/16 بوصة (0.8 → 1.6 ملم),متغير,لا توجد معلومات إضافية
J,عرض الوجه المفلطح (الذي يمنع الدوران النسبي مع الظرف),من 0.140 إلى 0.257 بوصة (3.6 → 6.5 ملم),متغير,عمق الفلات غير مذكور في الجدول لكنه ظاهر على التفصيل: • عمق الفلات = 0.030 – 0.035 بوصة (0.76 – 0.89 ملم)
,,,,
,,,,
"Key points that are drawing-only and not printed in the main table
1. Overall length option: 13 1⁄8 in (333 mm) or 20 1⁄8 in (511 mm) – must be written on order sheet.
2. Chamfer 45° × 1/8 in (3.2 mm) on top edge of flight (detail bubble).
3. Hub diameter tolerance: Ø 0.615 ± 0.003 in (15.63 ± 0.08 mm) for Size 14 and larger.
4. Depth of drive flat: 0.030 – 0.035 in (0.76 – 0.89 mm).
5. Thread depth is “thru to bottom of chamfer” – no specific number given.","ملاحظات مهمة ظهرت فقط على الرسم ولا تُقرأ من الجدول:
1. طول إضافي اختياري: 13 1⁄8 بوصة (333 ملم) أو 20 1⁄8 بوصة (511 ملم) – يُطلب صراحة.
2. شطب 45° × 1/8 بوصة على الحافة العلوية للريشة.
3. التفصيل يُظهر خيطاً كاملاً حتى قاع الشطب – لا يوجد عمق محدد في الجدول.
4. عمق الوجه المفلطح (J) = 0.76 – 0.89 ملم – غير مكتوب في الجدول الأصلي.",,,
